imdb_id;title
tt0111161;The Shawshank Redemption
tt0068646;The Godfather
tt0071562;The Godfather: Part II
tt0468569;The Dark Knight
tt0050083;12 Angry Men
tt0108052;Schindler's List
tt0110912;Pulp Fiction
tt0167260;The Lord of the Rings: The Return of the King
tt0060196;Il buono, il brutto, il cattivo
tt0109830;Forrest Gump
tt0120737;The Lord of the Rings: The Fellowship of the Ring
tt0137523;Fight Club
tt1375666;Inception
tt5813916;Dag II
tt8110330;Dil Bechara
tt0073486;One Flew Over the Cuckoo's Nest
tt0080684;Star Wars: Episode V - The Empire Strikes Back
tt0099685;Goodfellas
tt0133093;The Matrix
tt0167261;The Lord of the Rings: The Two Towers
tt0038650;It's a Wonderful Life
tt0047478;Shichinin no samurai
tt0076759;Star Wars
tt0102926;The Silence of the Lambs
tt0114369;Se7en
tt0118799;La vita è bella
tt0120689;The Green Mile
tt0120815;Saving Private Ryan
tt0245429;Sen to Chihiro no kamikakushi
tt0317248;Cidade de Deus
tt0816692;Interstellar
tt6751668;Gisaengchung
tt0021749;City Lights
tt0027977;Modern Times
tt0034583;Casablanca
tt0054215;Psycho
tt0064116;C'era una volta il West
tt0088763;Back to the Future
tt0095327;Hotaru no haka
tt0095765;Nuovo Cinema Paradiso
tt0103064;Terminator 2: Judgment Day
tt0110357;The Lion King
tt0110413;Léon
tt0114814;The Usual Suspects
tt0120586;American History X
tt0172495;Gladiator
tt0253474;The Pianist
tt0407887;The Departed
tt0482571;The Prestige
tt1675434;Intouchables
tt2582802;Whiplash
tt7286456;Joker
tt0032553;The Great Dictator
tt0043014;Sunset Blvd.
tt0047396;Rear Window
tt0050825;Paths of Glory
tt0051201;Witness for the Prosecution
tt0057012;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
tt0078748;Alien
tt0078788;Apocalypse Now
tt0081505;The Shining
tt0082971;Raiders of the Lost Ark
tt0087843;Once Upon a Time in America
tt0119698;Mononoke-hime
tt0209144;Memento
tt0364569;Oldeuboi
tt0405094;Das Leben der Anderen
tt0910970;WALL·E
tt0986264;Taare Zameen Par
tt1187043;3 Idiots
tt1345836;The Dark Knight Rises
tt1853728;Django Unchained
tt2380307;Coco
tt4154756;Avengers: Infinity War
tt4154796;Avengers: Endgame
tt4633694;Spider-Man: Into the Spider-Verse
tt5074352;Dangal
tt5311514;Kimi no na wa.
tt8267604;Capharnaüm
tt0012349;The Kid
tt0017136;Metropolis
tt0022100;M - Eine Stadt sucht einen Mörder
tt0033467;Citizen Kane
tt0036775;Double Indemnity
tt0040522;Ladri di biciclette
tt0044741;Ikiru
tt0045152;Singin' in the Rain
tt0052357;Vertigo
tt0053125;North by Northwest
tt0053604;The Apartment
tt0056172;Lawrence of Arabia
tt0059578;Per qualche dollaro in più
tt0062622;2001: A Space Odyssey
tt0066921;A Clockwork Orange
tt0070735;The Sting
tt0075314;Taxi Driver
tt0082096;Das Boot
tt0086190;Star Wars: Episode VI - Return of the Jedi
tt0086250;Scarface
tt0086879;Amadeus